"","Obs.dist","Obs.Site","Rep.ID"
"374",5,"FS.4","201505B"
"375",30,"FS.4","201506B"
"376",5,"LG.5","201506B"
"377",10,"LS.12","201506B"
"378",10,"AB.4","201509A"
"379",15,"LG.5","201509A"
"380",15,"PS.1","201509B"
"381",5,"AB.12","201509B"
"382",2,"LS.5","201508A"
"383",20,"LG.6","201508A"
"384",6,"PS.2","201510B"
"385",1,"PS.1","201511A"
"386",6,"FS.4","201511B"
"387",5,"LS.11","201511B"
"388",10,"AB.12","201512A"
"389",10,"FS.3","201512B"
"390",10,"AB.11","201507B"
"391",20,"LG.6","201501A"
"392",30,"UG.14","200711B"
"393",18,"UG.14","200805A"
"394",3,"UG.13","200812A"
"395",25,"UG.14","200904A"
"396",10,"UG.14","200904A"
"397",9,"UG.13","200906A"
"398",10,"UG.13","200908B"
"399",1,"UG.14","200912A"
"400",5,"UG.14","201001B"
"401",25,"UG.13","201011A"
"402",5,"UG.14","201203B"
"403",10,"LG.14","201207A"
"404",20,"LG.14","201208A"
"405",35,"UG.14","201211B"
"406",12,"UG.13","201211A"
"407",20,"UG.13","201301A"
"408",20,"UG.13","201301A"
"409",20,"UG.14","201301A"
"410",15,"UG.13","201302B"
"411",NA,"UG.13","201312A"
"412",40,"UG.14","201402B"
"413",3,"UG.14","201404A"
